city,county_name,state,crime_report_year,strata_level_name_code,criminals_population,all_population,crime_rate,2000_price_avg,2001_price_avg,2002_price_avg,2003_price_avg,2004_price_avg,2005_price_avg,2006_price_avg,2007_price_avg,2008_price_avg,2009_price_avg,2010_price_avg,2011_price_avg,2012_price_avg,2013_price_avg,price_avg_this_year
Oakland,Alameda,CA,2000,5,9503,1443741,6.582205534,254284,0,0,0,0,0,0,0,0,0,0,0,0,0,254284
Oakland,Alameda,CA,2001,5,9422,1470572,6.407030734,0,317862,0,0,0,0,0,0,0,0,0,0,0,0,317862
Oakland,Alameda,CA,2002,5,9666,1496782,6.45785425,0,0,356466,0,0,0,0,0,0,0,0,0,0,0,356466
Oakland,Alameda,CA,2003,5,10104,1487757,6.791431665,0,0,0,396537,0,0,0,0,0,0,0,0,0,0,396537
Oakland,Alameda,CA,2004,5,9114,1477884,6.166925144,0,0,0,0,453641,0,0,0,0,0,0,0,0,0,453641
Oakland,Alameda,CA,2005,5,9749,1464898,6.655070865,0,0,0,0,0,543074,0,0,0,0,0,0,0,0,543074
Oakland,Alameda,CA,2006,5,12412,1461954,8.49000721,0,0,0,0,0,0,581808,0,0,0,0,0,0,0,581808
Oakland,Alameda,CA,2007,5,12537,1447205,8.662905393,0,0,0,0,0,0,0,562511,0,0,0,0,0,0,562511
Oakland,Alameda,CA,2008,5,12778,1458725,8.759704536,0,0,0,0,0,0,0,0,483323,0,0,0,0,0,483323
Oakland,Alameda,CA,2009,5,11189,1471974,7.601357089,0,0,0,0,0,0,0,0,0,381228,0,0,0,0,381228
Oakland,Alameda,CA,2010,5,10468,1510271,6.931206386,0,0,0,0,0,0,0,0,0,0,377029,0,0,0,377029
Oakland,Alameda,CA,2011,5,10785,1528026,7.058125974,0,0,0,0,0,0,0,0,0,0,0,339498,0,0,339498
Oakland,Alameda,CA,2012,5,11900,1544062,7.70694441,0,0,0,0,0,0,0,0,0,0,0,0,330686,0,330686
Oakland,Alameda,CA,2013,5,11739,1570821,7.473162124,0,0,0,0,0,0,0,0,0,0,0,0,0,417335,417335
Markleeville,Alpine,CA,2012,5,8,1112,7.194244604,0,0,0,0,0,0,0,0,0,0,0,0,200852,0,200852
Markleeville,Alpine,CA,2013,5,6,1121,5.352363961,0,0,0,0,0,0,0,0,0,0,0,0,0,249032,249032
Pioneer,Amador,CA,2000,5,179,34120,5.246189918,163095,0,0,0,0,0,0,0,0,0,0,0,0,0,163095
Pioneer,Amador,CA,2001,5,141,35752,3.94383531,0,147682,0,0,0,0,0,0,0,0,0,0,0,0,147682
Pioneer,Amador,CA,2002,5,146,36389,4.012201489,0,0,159259,0,0,0,0,0,0,0,0,0,0,0,159259
Pioneer,Amador,CA,2003,5,117,37042,3.158576751,0,0,0,181981,0,0,0,0,0,0,0,0,0,0,181981
Pioneer,Amador,CA,2004,5,121,37703,3.20929369,0,0,0,0,226389,0,0,0,0,0,0,0,0,0,226389
Pioneer,Amador,CA,2005,5,140,38088,3.675698383,0,0,0,0,0,276622,0,0,0,0,0,0,0,0,276622
Pioneer,Amador,CA,2006,5,131,38817,3.374810006,0,0,0,0,0,0,303964,0,0,0,0,0,0,0,303964
Pioneer,Amador,CA,2007,5,154,39205,3.928070399,0,0,0,0,0,0,0,284529,0,0,0,0,0,0,284529
Pioneer,Amador,CA,2008,5,127,38948,3.260757934,0,0,0,0,0,0,0,0,238069,0,0,0,0,0,238069
Pioneer,Amador,CA,2009,5,107,38462,2.781966616,0,0,0,0,0,0,0,0,0,202013,0,0,0,0,202013
Pioneer,Amador,CA,2010,5,110,38091,2.88782127,0,0,0,0,0,0,0,0,0,0,189703,0,0,0,189703
Pioneer,Amador,CA,2011,5,98,38539,2.542878642,0,0,0,0,0,0,0,0,0,0,0,179934,0,0,179934
Pioneer,Amador,CA,2012,5,130,38305,3.393812818,0,0,0,0,0,0,0,0,0,0,0,0,182760,0,182760
Pioneer,Amador,CA,2013,5,100,36824,2.715620248,0,0,0,0,0,0,0,0,0,0,0,0,0,206518,206518
Chico,Butte,CA,2000,5,699,203171,3.440451639,282743,0,0,0,0,0,0,0,0,0,0,0,0,0,282743
Chico,Butte,CA,2001,5,629,206947,3.039425553,0,160917,0,0,0,0,0,0,0,0,0,0,0,0,160917
Chico,Butte,CA,2002,5,541,210636,2.568411857,0,0,180758,0,0,0,0,0,0,0,0,0,0,0,180758
Chico,Butte,CA,2003,5,696,211398,3.292367951,0,0,0,216953,0,0,0,0,0,0,0,0,0,0,216953
Chico,Butte,CA,2004,5,752,213444,3.523172354,0,0,0,0,258083,0,0,0,0,0,0,0,0,0,258083
Chico,Butte,CA,2005,5,752,214382,3.507757181,0,0,0,0,0,333779,0,0,0,0,0,0,0,0,333779
Chico,Butte,CA,2006,5,787,216114,3.641596565,0,0,0,0,0,0,367477,0,0,0,0,0,0,0,367477
Chico,Butte,CA,2007,5,977,215992,4.523315678,0,0,0,0,0,0,0,352808,0,0,0,0,0,0,352808
Chico,Butte,CA,2008,5,836,219628,3.806436338,0,0,0,0,0,0,0,0,313300,0,0,0,0,0,313300
Chico,Butte,CA,2009,5,932,221473,4.208187906,0,0,0,0,0,0,0,0,0,282687,0,0,0,0,282687
Chico,Butte,CA,2010,5,762,220000,3.463636364,0,0,0,0,0,0,0,0,0,0,268753,0,0,0,268753
Chico,Butte,CA,2011,5,576,222586,2.587763831,0,0,0,0,0,0,0,0,0,0,0,248004,0,0,248004
Chico,Butte,CA,2012,5,684,222309,3.07679851,0,0,0,0,0,0,0,0,0,0,0,0,240384,0,240384
Chico,Butte,CA,2013,5,634,222365,2.851168124,0,0,0,0,0,0,0,0,0,0,0,0,0,266977,266977
