RegionID,SizeRank,RegionName,RegionType,StateName,State,Metro,CountyName,1/31/2000,2/29/2000,3/31/2000,4/30/2000,5/31/2000,6/30/2000,7/31/2000,8/31/2000,9/30/2000,10/31/2000,11/30/2000,12/31/2000,1/31/2001,2/28/2001,3/31/2001,4/30/2001,5/31/2001,6/30/2001,7/31/2001,8/31/2001,9/30/2001,10/31/2001,11/30/2001,12/31/2001,1/31/2002,2/28/2002,3/31/2002,4/30/2002,5/31/2002,6/30/2002,7/31/2002,8/31/2002,9/30/2002,10/31/2002,11/30/2002,12/31/2002,1/31/2003,2/28/2003,3/31/2003,4/30/2003,5/31/2003,6/30/2003,7/31/2003,8/31/2003,9/30/2003,10/31/2003,11/30/2003,12/31/2003,1/31/2004,2/29/2004,3/31/2004,4/30/2004,5/31/2004,6/30/2004,7/31/2004,8/31/2004,9/30/2004,10/31/2004,11/30/2004,12/31/2004,1/31/2005,2/28/2005,3/31/2005,4/30/2005,5/31/2005,6/30/2005,7/31/2005,8/31/2005,9/30/2005,10/31/2005,11/30/2005,12/31/2005,1/31/2006,2/28/2006,3/31/2006,4/30/2006,5/31/2006,6/30/2006,7/31/2006,8/31/2006,9/30/2006,10/31/2006,11/30/2006,12/31/2006,1/31/2007,2/28/2007,3/31/2007,4/30/2007,5/31/2007,6/30/2007,7/31/2007,8/31/2007,9/30/2007,10/31/2007,11/30/2007,12/31/2007,1/31/2008,2/29/2008,3/31/2008,4/30/2008,5/31/2008,6/30/2008,7/31/2008,8/31/2008,9/30/2008,10/31/2008,11/30/2008,12/31/2008,1/31/2009,2/28/2009,3/31/2009,4/30/2009,5/31/2009,6/30/2009,7/31/2009,8/31/2009,9/30/2009,10/31/2009,11/30/2009,12/31/2009,1/31/2010,2/28/2010,3/31/2010,4/30/2010,5/31/2010,6/30/2010,7/31/2010,8/31/2010,9/30/2010,10/31/2010,11/30/2010,12/31/2010,1/31/2011,2/28/2011,3/31/2011,4/30/2011,5/31/2011,6/30/2011,7/31/2011,8/31/2011,9/30/2011,10/31/2011,11/30/2011,12/31/2011,1/31/2012,2/29/2012,3/31/2012,4/30/2012,5/31/2012,6/30/2012,7/31/2012,8/31/2012,9/30/2012,10/31/2012,11/30/2012,12/31/2012,1/31/2013,2/28/2013,3/31/2013,4/30/2013,5/31/2013,6/30/2013,7/31/2013,8/31/2013,9/30/2013,10/31/2013,11/30/2013,12/31/2013,1/31/2014,2/28/2014,3/31/2014,4/30/2014,5/31/2014,6/30/2014,7/31/2014,8/31/2014,9/30/2014,10/31/2014,11/30/2014,12/31/2014,1/31/2015,2/28/2015,3/31/2015,4/30/2015,5/31/2015,6/30/2015,7/31/2015,8/31/2015,9/30/2015,10/31/2015,11/30/2015,12/31/2015,1/31/2016,2/29/2016,3/31/2016,4/30/2016,5/31/2016,6/30/2016,7/31/2016,8/31/2016,9/30/2016,10/31/2016,11/30/2016,12/31/2016,1/31/2017,2/28/2017,3/31/2017,4/30/2017,5/31/2017,6/30/2017,7/31/2017,8/31/2017,9/30/2017,10/31/2017,11/30/2017,12/31/2017,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021,10/31/2021,11/30/2021,12/31/2021,1/31/2022,2/28/2022,3/31/2022,4/30/2022,5/31/2022,6/30/2022,7/31/2022,8/31/2022,9/30/2022,10/31/2022,11/30/2022,12/31/2022
13072,49,Oakland,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,226030,227056,228851,235576,245093,252670,259270,263419,269978,275367,281077,287025,290270,293842,299386,306843,314049,318875,323512,327859,331691,334213,336550,337257,337319,337491,338832,342723,346982,353140,358915,364834,369219,372718,376177,379243,382061,384956,388299,391748,393568,395297,397492,399773,401417,403391,407942,412504,418206,422255,429012,434833,442472,449243,456922,463833,471407,477765,485116,492623,501332,510091,518465,527373,535873,544099,550127,556929,561984,567878,569900,572840,575031,580301,584434,585671,584129,583081,583102,584692,583216,581548,579046,577450,580142,578652,578852,575394,571754,567189,564782,561782,557579,546164,538634,529203,529154,527158,523555,514545,505206,496321,486500,470870,454806,439929,429434,422400,407502,399170,390351,388048,381957,382016,380166,373717,365392,363561,368899,373962,379496,383074,385972,385802,386780,384863,381359,374254,368983,365548,365255,362960,360498,356983,353856,348562,342199,336086,334747,332025,331121,327395,325827,324675,322325,320189,317341,318812,322794,328475,328283,330691,332130,340190,348279,358727,368217,375590,384379,394821,407967,419548,427017,432610,436868,444589,453012,463399,469338,475277,476005,478403,476830,475616,472137,474385,477751,485007,490304,497021,501401,506234,512012,520514,527885,534217,537547,545675,556811,568529,573902,580676,589153,599717,603837,609594,614626,618986,619134,621191,621791,628035,631362,636195,638939,642747,649378,652633,656097,659914,665084,669980,677672,684136,690779,698514,708617,717140,723652,730944,738945,743358,745964,749510,752120,752769,750316,743328,737435,734944,735661,736314,736387,737883,743839,748185,752458,750441,748675,750273,758652,764344,770787,769257,762961,756173,763493,780547,797872,807546,817027,820357,824148,832078,848647,865994,883910,903169,927719,940756,944146,935803,935254,937871,948429,961797,977916,989771,992242,983455,974970,954721,943765,929839,924920,917583
11540,113,Fremont,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,337237,339003,341551,351949,366168,377329,386796,392799,402949,410692,419306,427631,432290,436959,444779,455085,463961,468467,472309,475207,476609,475473,474014,469498,463677,458081,455628,457494,460565,466506,472305,478065,482107,485170,488622,491363,493564,496300,499319,502425,502278,501881,501772,502788,503304,504693,509302,514500,521163,525692,533610,540391,549537,557498,566993,575979,586024,594737,604818,615844,628131,640426,651818,664620,676824,688170,695931,704191,710331,717825,720347,723645,725330,730753,734601,734991,732122,730085,729772,731291,728646,725702,721564,719513,722243,720196,720189,716457,712667,707844,705461,703242,699891,688510,681324,671098,672520,672428,670903,662070,653282,647475,640852,632391,620803,610843,600184,595047,578732,570149,559757,558428,550495,549609,545890,541595,535017,536766,544749,551721,559182,562536,565607,565479,569639,570124,568091,561423,556084,551992,549248,545082,541914,537814,535430,531045,525514,518461,516998,514721,515253,511279,508186,505279,502128,499059,495699,497325,503733,512977,515484,520698,524484,535794,548079,563820,579876,592373,606710,623811,644425,662222,671711,677728,682002,691128,703971,721452,734264,745865,747856,749464,744764,740416,738604,744168,752118,761186,768556,777462,784668,793813,803138,813755,819780,824644,828698,839258,854175,867568,872940,882005,894219,910881,915416,919157,920850,923233,921515,920679,917738,922034,924654,929345,932851,938446,947280,950761,952921,956729,964090,971845,985546,997504,1011047,1026525,1043409,1058390,1071957,1090688,1112509,1128716,1149543,1165656,1177363,1176594,1173160,1162205,1151158,1145372,1143807,1138858,1130164,1120373,1114426,1108225,1104889,1099454,1094375,1094775,1103965,1110426,1119380,1116391,1105640,1092359,1095872,1112329,1131345,1147215,1165794,1176515,1183410,1195176,1220208,1251053,1286692,1324471,1364727,1389648,1402651,1404510,1416994,1431593,1457152,1487613,1526595,1560219,1579877,1576384,1563294,1528631,1512162,1501781,1505127,1500822
18518,160,Hayward,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,234393,235585,237616,244860,254284,261608,267551,271283,277208,281592,286507,291396,293951,296673,301957,309305,316519,321438,326411,330797,333998,335770,337785,338495,338443,338154,339078,342025,344984,349416,353553,358152,361567,364338,367207,369706,371835,374154,376833,379891,381219,382598,384510,387161,389066,391420,396032,400960,406960,411066,417658,423124,430360,436884,444716,452029,460117,466600,474138,482132,491359,500472,508839,518287,527503,536585,543428,550967,556957,563878,567228,571152,573855,579459,584162,586468,586052,585912,586598,588940,588047,586815,583992,582571,585060,583741,583953,580630,576624,571288,567633,563192,557611,545222,536897,525860,524057,518874,510906,495394,479863,464425,447845,427856,407636,390031,375490,367188,353461,346097,336663,332534,324845,322269,318107,312785,306508,305098,308037,310630,314712,316843,319272,319674,321713,322040,321271,319776,318371,317177,315423,312556,310201,306958,304569,300928,296658,291861,290779,289412,289847,286967,285053,283377,281662,280220,278169,278731,280975,284883,286236,289189,290976,296419,302687,311270,319448,325807,334526,345070,358733,371429,384322,394714,402809,409863,419065,430638,438167,445220,447431,450493,449797,447868,447161,450003,454268,458318,460563,464108,466094,469841,473780,479179,482461,485036,487581,493185,501914,509488,513079,517994,524542,533413,536440,540172,543841,547274,548224,549166,549145,554082,557162,560987,562467,565301,570612,573801,577025,581046,587332,592190,599762,605794,613746,623018,633043,641361,647778,656273,665729,672201,676916,680271,682559,682073,680743,674824,669715,667372,668312,669146,668509,667863,666101,664507,662647,662043,661215,664586,671965,677377,684036,683185,678197,673157,676526,688837,701086,713408,725215,732056,736956,745206,760020,777616,798125,820093,843525,857149,863759,864035,869615,876522,889994,906771,927671,945190,954723,951179,939609,914489,900340,890339,888958,884351
16992,323,Berkeley,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,392596,394973,398942,412456,430672,445580,457338,464255,474664,482756,491907,500666,505081,509544,518193,528949,537478,539673,542538,544598,545796,544603,544412,543027,540836,539281,539549,544093,548579,556406,562686,569738,574504,578926,584506,588881,593647,597638,602822,607867,610540,612630,614509,616353,617326,619512,625563,632421,640643,646615,656231,664241,674581,684643,695926,705989,716701,725450,735465,746290,760571,774907,787860,800624,812692,821955,827369,833132,837139,842276,841652,841203,840089,844984,849460,849802,844913,841869,838432,838368,833449,829953,825440,822804,826890,824380,824561,819907,815438,809928,807577,805992,802339,790034,783399,775644,780240,782213,780212,771538,764322,762415,762147,758902,751700,744680,737575,737237,720802,714262,705431,706644,699649,702714,703281,701897,695196,700215,711317,721551,730894,735912,740236,739356,742782,739380,732975,717252,708600,702661,703218,698939,696439,691674,688058,681020,674032,666673,666194,660606,658625,652415,650784,648548,643935,640361,636279,639678,647808,660635,661448,666650,670936,688235,705890,726132,744707,759406,775715,795615,817647,835106,836113,834887,833227,845608,860244,879659,891889,903912,903946,906931,903111,898595,893698,897885,905215,913946,919876,930013,939886,951790,965749,981701,994289,1003627,1008020,1019245,1034960,1051298,1056698,1068575,1079837,1096139,1096677,1105335,1111930,1118144,1110529,1106827,1103831,1116679,1125886,1134912,1137494,1141512,1152313,1160721,1167486,1177961,1188480,1198835,1212412,1221416,1232219,1241812,1258137,1271935,1283972,1297720,1312926,1317730,1309879,1304074,1296717,1298244,1290204,1275615,1261055,1256046,1256125,1255872,1254113,1259390,1274811,1290898,1303944,1304751,1302886,1305548,1316691,1322868,1334305,1330899,1319385,1303978,1316040,1343376,1364836,1373413,1382711,1388173,1394261,1410906,1441338,1470405,1498669,1529210,1576730,1597849,1605248,1587216,1590201,1598712,1620884,1645598,1673078,1695184,1700645,1690552,1686149,1664641,1654295,1634749,1631052,1625432
13698,377,San Leandro,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,236501,237876,239879,247032,256666,264119,270694,274621,281065,285479,290183,294686,296817,299576,304936,312379,319334,323672,328017,332012,335426,337478,339872,340833,341024,340862,342079,345608,349107,353704,358075,363006,366727,369721,372560,375012,377081,379560,382361,385355,386736,388554,391008,393572,395328,397314,401562,406116,411870,416096,423028,428763,436380,443026,450687,457801,465517,472092,479563,487367,496148,504877,512772,521424,529616,537669,543891,550876,556301,562571,565014,567964,569849,574914,578935,580479,579445,579197,579501,581072,579155,577251,574182,572513,574669,572668,572140,568251,563742,558166,554219,550049,544646,532138,523021,511368,509019,504964,499478,487682,475564,463447,451563,437818,424442,412077,401442,395515,382798,375975,367522,365462,359974,359244,356394,350874,344426,344482,349470,354281,358807,361089,362430,361960,363227,361905,358692,353837,350385,348084,346733,343951,341454,337140,333724,328676,323531,318276,316975,316168,316636,313550,310362,307321,304088,300853,297854,298275,301228,305876,308077,311542,313811,319109,325462,334114,342666,349585,358403,369147,382697,394982,405152,412954,418419,424639,432933,443951,451180,457895,459541,461666,459743,456872,453517,454767,457947,463256,466697,471391,475033,480178,485470,491818,495268,498440,500707,506164,514301,521122,523863,527912,534877,544918,547736,550709,553114,557021,558982,561112,561282,565074,567353,570660,573006,576263,581964,585119,587549,590923,596758,602151,610836,616641,623323,631064,640600,649015,655210,663022,670655,675165,677758,680388,681811,681624,680003,673352,666827,663244,663289,663390,662877,663632,663732,663413,662793,662523,661619,664244,672211,678907,687800,688321,684520,679905,685941,699885,714606,727776,741009,747159,750529,758440,773621,791006,811079,832845,856781,868871,873085,869930,873484,878678,889763,903027,922195,939075,947252,939240,926214,899925,884817,871585,869043,864562
32540,418,Livermore,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,304579,305908,307921,315836,326730,334796,341266,344458,350835,355426,360822,366181,368846,371804,377941,386446,394345,398910,402999,406641,409304,410457,411869,411286,409438,407362,406849,408994,411037,415085,418900,423452,426685,429326,431832,433908,435840,438341,441130,444115,445176,446553,448418,450729,452232,454574,459742,465351,472119,476744,484431,490853,499546,507372,516714,525356,534946,542993,552333,562005,572974,583607,593355,603864,613859,623457,630416,638096,643855,650624,653003,655949,657754,663098,667262,667977,665126,662419,661076,661720,658444,655107,650318,647590,649060,646328,645248,640682,636097,630465,626870,623120,618462,606848,599564,589427,589957,588417,585649,575112,564026,555137,545522,535048,523004,513233,503004,497364,483141,475389,465271,462340,455197,454357,450863,447722,442334,443455,447072,450423,454629,456254,458304,456997,458702,456544,453185,448985,446352,444937,442497,438855,436271,432849,430024,425220,419404,413941,413568,413674,415726,413508,411601,409835,407461,405205,402770,404243,408933,415473,418336,422639,425825,434090,443977,456437,468549,477983,489626,502846,519124,533279,544893,552374,558253,565734,577613,592897,603805,613426,615635,618745,616773,614634,614045,618281,623484,628235,630868,635211,638344,644659,650869,658142,660788,663132,663864,667873,675457,681814,683811,688139,696007,707837,709988,711774,711449,711734,710618,709501,707683,710630,713148,716673,717736,720076,725632,727853,729876,732825,738200,741474,748824,754118,762812,773136,784849,793960,799723,807769,816598,822343,827173,831165,832249,830160,826469,817830,809229,804395,803781,803548,801811,800877,799434,797902,796606,796036,795391,798374,805832,810271,816531,814985,809852,803661,808507,822291,837987,851999,867411,876148,882562,893374,914257,940988,971710,1004079,1036173,1054868,1064289,1065851,1076314,1089197,1108918,1132296,1161822,1190294,1206796,1204348,1193406,1168124,1157505,1150556,1153114,1151134
47164,643,Pleasanton,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,416485,418441,421063,432185,447481,458530,467022,471040,479973,486659,494380,501845,505064,508649,517392,529583,540720,546144,550633,553448,555032,554510,555291,552748,548906,544427,542373,544458,547121,552771,558053,563962,568608,572363,576201,579154,581501,584658,588579,593062,594472,595706,597096,598926,600066,602583,609050,615865,624312,630226,641052,650290,662651,673438,686514,698910,712513,723979,736669,750201,764868,779319,792321,806172,818964,830395,837955,845852,850975,858148,859912,863071,864519,870840,875098,874908,870988,867501,865078,864321,858905,854449,848156,844241,845674,842021,840944,835686,830464,824549,821274,818461,814668,801874,793639,782675,785353,787011,786436,778013,770079,764995,759959,753875,745176,736912,726054,720564,699920,688964,676471,676832,671397,673895,672634,667499,659003,659579,667167,673497,681031,684236,687993,687408,691653,691951,689931,684421,680582,678391,676774,673207,670914,667421,665431,660885,654776,647205,647708,647870,651288,647395,644497,642391,640300,637181,634260,637856,647272,658164,657723,659920,661220,674788,690278,709538,728350,742691,757862,773556,791722,806456,813199,817099,819589,828802,842081,861926,874263,884758,883534,883723,877010,870321,864962,867310,871540,878497,884506,892936,899700,908115,916279,925533,929801,933812,935647,943751,956791,968375,972275,980006,992802,1010174,1014363,1017835,1018900,1020338,1015634,1011828,1007679,1013083,1016845,1020984,1023214,1027403,1037070,1040150,1041593,1042760,1047943,1051661,1061855,1070444,1083424,1098877,1116692,1132220,1144478,1161250,1178690,1191331,1202345,1211230,1215308,1214262,1211162,1199996,1187317,1180441,1179801,1179069,1173986,1168846,1166738,1162852,1160080,1153540,1149742,1151706,1162397,1167998,1175524,1169128,1155572,1140171,1146571,1167677,1190722,1207436,1228001,1239667,1248412,1262735,1293490,1332131,1374726,1421902,1474709,1512847,1533809,1538263,1553394,1571392,1600809,1635165,1678458,1720070,1742099,1737005,1717854,1680819,1664793,1654311,1653442,1644358
41333,708,Union City,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,293890,295328,297587,306659,319223,328714,336300,340389,348878,355767,364101,371918,376274,380235,387293,397332,406619,412244,416918,421041,423346,423298,423195,420150,416609,412946,412411,414740,417364,422072,426496,431259,434540,437148,439779,442073,443768,445950,448240,450917,451550,452439,453852,455431,456151,457144,461100,465371,471308,475403,482844,489130,497475,504871,513431,521353,530006,537567,546594,556678,568183,579588,589943,601228,612023,622142,629470,637678,643447,650380,652607,656144,658528,664258,669152,670718,669702,668701,668922,670522,668492,666321,662936,661133,663889,661718,661194,656389,651683,646235,643155,639894,635702,623740,615575,604328,604652,603041,598977,586802,574301,563414,551417,536395,520174,506553,494841,488110,472301,463503,454498,453033,445432,441785,436815,430468,424327,424837,431605,436531,441535,444005,446252,446333,449609,451196,450489,447596,445491,443431,441432,437520,434415,429845,425959,420784,413960,407157,404794,403775,403982,400763,397454,394840,392031,389283,386419,387049,391570,399758,402241,405607,406829,415271,425893,438903,451778,461845,473599,488709,506589,521426,530924,537944,545191,553895,564179,577263,586719,596852,600198,603376,600610,596920,598192,606350,615462,621243,623373,627759,632952,639995,648027,656276,662361,666809,671676,680520,692101,699313,699929,703672,711356,723119,724877,726475,727078,729014,731629,735624,737814,743023,746099,751283,753447,757223,764274,768776,772844,778558,789368,798491,809991,816851,826328,839126,852558,863405,871961,885870,902559,916817,935251,950493,960942,959714,956044,946981,938361,934858,933517,931527,927034,922081,914316,905042,898034,894652,892604,895973,904770,911336,918624,916916,909547,901346,904598,919832,937531,956787,977024,990933,999970,1013206,1037454,1066671,1101300,1143119,1186086,1213634,1226769,1235695,1255342,1276264,1303339,1335783,1374930,1408215,1425954,1418940,1401031,1364346,1347479,1339337,1343911,1343007
16697,742,Alameda,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,344879,346754,349625,360500,374995,386018,394263,398498,406729,413219,420181,426711,429065,432359,439041,448566,456543,460237,463964,466808,468409,467770,468413,467563,466244,464805,464874,468695,472125,478359,484169,491950,498680,504443,510003,514455,518399,522216,526720,531264,533379,535418,537991,540783,542554,545195,551239,558093,566634,572641,581721,588669,597959,606442,616365,625617,635982,644237,653465,662307,673241,684493,694883,705340,714208,721643,725263,730713,734748,740768,741722,743214,744890,750328,753866,752956,749035,747560,747621,749359,745848,742283,737733,735804,738682,737305,737780,734675,729840,724170,720662,718552,715238,704402,697592,687972,690308,691068,689923,682394,675031,671466,667318,659314,648591,638871,630925,629524,614536,609549,601049,602338,596252,598469,597425,589268,578555,578194,589604,599190,608511,612262,614679,613198,615288,613175,608610,594094,583157,575190,576478,574879,572256,566669,562299,554929,547839,539616,539607,532530,528745,519996,517034,515212,512648,510239,506927,509388,516682,525685,522164,523089,523436,537461,551510,568915,584906,595548,607607,622979,642570,658293,661503,663204,666277,677615,689550,704153,713389,723586,724837,727209,722944,718356,709898,709492,710962,720215,726737,734443,738937,745520,753543,764302,771085,777298,781024,791595,806429,820384,825960,833320,843411,856001,857922,861257,863758,867835,865757,866916,867859,876659,883491,888708,892821,896061,905178,910691,915090,920954,929404,938938,950960,958233,965280,974501,985397,994309,1000492,1008434,1016449,1018315,1014370,1014190,1010060,1011640,1007323,997436,986197,981378,986325,990737,994701,996653,1008396,1016615,1025188,1022593,1018740,1021212,1031659,1038630,1046161,1042736,1033596,1022233,1032447,1054743,1075968,1086524,1094902,1096933,1098229,1108256,1129997,1155397,1184531,1218273,1261371,1289914,1301213,1292845,1291015,1297907,1315863,1340139,1366066,1386748,1393900,1388145,1381180,1358334,1344429,1327308,1320785,1309762
30785,1052,Castro Valley,city,CA,CA,"San Francisco-Oakland-Berkeley, CA",Alameda County,308927,310045,311964,320406,331963,340676,347754,351538,358838,363857,369825,375522,378117,381279,387665,396656,405020,409992,414748,418486,421182,422310,423778,423728,422609,421292,421488,424791,428681,434778,440736,447345,452105,456027,459862,463511,466433,469812,473934,478138,479635,481089,483211,485621,486772,488507,493433,498728,505701,510733,519509,526615,535783,543385,553027,562131,572456,580713,590453,600471,611824,622679,631990,642736,652763,663103,669961,677689,683314,690243,692619,695800,697711,703279,707410,708066,705936,703786,702608,702785,699809,697140,692819,689339,690243,687244,686469,682100,676517,670259,665475,660912,654251,640679,631527,621074,621438,620258,616346,605416,594381,585591,578059,569883,560065,550704,540704,536081,520658,511663,501380,499752,493352,493318,490822,487348,481540,483269,489255,494790,500004,502914,504979,504074,506295,506071,503854,497581,492194,488542,486425,482551,479178,474632,471761,466866,460814,452604,449820,447510,448933,446395,444402,442339,439414,436062,431859,431479,434939,441553,444595,449720,452777,460926,469865,482020,493226,501684,512684,526414,544094,558857,569927,577546,583762,591931,602881,617715,628186,638137,639876,641139,636692,631954,627176,628695,631700,637340,640506,645879,649983,656040,661751,668518,671272,673301,673502,678872,689601,699345,703692,708923,718766,731833,735879,740122,742933,746419,744458,742664,739357,742975,745675,749912,753698,758695,765653,768657,770606,774665,780235,785002,792111,798664,808069,819199,830658,839451,845920,855036,864800,871060,874548,876570,878432,878648,877897,869771,861109,855841,855331,855478,854763,854862,855876,855905,855914,854625,852926,854957,864355,871568,881956,881158,875454,866820,872720,890457,912041,930345,948974,958806,966026,976182,997748,1024434,1056184,1091064,1128563,1151932,1162730,1163463,1173036,1185615,1206696,1232284,1264930,1292317,1308823,1301539,1286351,1251747,1232291,1215621,1208442,1198958
